"","PlotID","Origin","Density","block","HarvTime","Wei_all_per_m2","PH_max_202304171517","PH_90_202304171517","PH_max_202305031115","PH_90_202305031115","PH_max_202305181131","PH_90_202305181131","PH_max_202305301156","PH_90_202305301156","PH_max_202306121122","PH_90_202306121122","PH_max_202306271027","PH_90_202306271027","CC_m2_202304171517","CC_m2_202305031115","CC_m2_202305181131","CC_m2_202305301156","CC_m2_202306121122","CC_m2_202306271027","CC_rate_202304171517","CC_rate_202305031115","CC_rate_202305181131","CC_rate_202305301156","CC_rate_202306121122","CC_rate_202306271027","PV_m3_202304171517","PV_m3_202305031115","PV_m3_202305181131","PV_m3_202305301156","PV_m3_202306121122","PV_m3_202306271027","PV_ave_202304171517","PV_ave_202305031115","PV_ave_202305181131","PV_ave_202305301156","PV_ave_202306121122","PV_ave_202306271027","ExG_VI_202304171517","ExG_VI_202305031115","ExG_VI_202305181131","ExG_VI_202305301156","ExG_VI_202306121122","ExG_VI_202306271027","VARI_VI_202304171517","VARI_VI_202305031115","VARI_VI_202305181131","VARI_VI_202305301156","VARI_VI_202306121122","VARI_VI_202306271027","GRVI_VI_202304171517","GRVI_VI_202305031115","GRVI_VI_202305181131","GRVI_VI_202305301156","GRVI_VI_202306121122","GRVI_VI_202306271027","NDVI_median_202305031115","NDVI_median_202305181131","NDVI_median_202305301127","NDVI_median_202306121122","NDVI_median_202306271027","GNDVI_median_202305031115","GNDVI_median_202305181131","GNDVI_median_202305301127","GNDVI_median_202306121122","GNDVI_median_202306271027","NDRE_median_202305031115","NDRE_median_202305181131","NDRE_median_202305301127","NDRE_median_202306121122","NDRE_median_202306271027"
"0","T1-02_2_00","Memanbetsu","sparse","T1",2,1360.79900124844,0,0,0.177719116210938,0.122615051269531,0.289703369140625,0.234230041503906,0.467964172363281,0.305836486816406,0,0,0,0,0,0.446911065323055,0.92828565271318,1.11594458830851,0,0,0,0.225712659254068,0.468831137733929,0.563608377933592,0,0,0,0.0369446799334541,0.159811278954715,0.249914130803362,0,0,0,0.0186589292593202,0.0807127671488458,0.126219257981496,0,0,0,89.0747779143114,110.612811961637,158.074510459722,0,0,0,0.192932666740464,0.237770471352407,0.343186317764125,0,0,0,0.146130790329037,0.184316690821496,0.246956543368597,0,0,0.749999999998125,0.826086956519943,0.851851851850274,0.33333333332963,0.285714285712245,0.636363636362479,0.686274509802576,0.7058823529391,0.49999999999375,0.444444444441975,0.0847457627117207,0.0721649484535338,0.128205128204964,0.166666666665278,0.142857142856463
"3","T2-13_1_00","Memanbetsu","sparse","T2",3,2681.64794007491,0,0,0.215232849121094,0.141204833984375,0.343818664550781,0.271568298339844,0.477424621582031,0.383720397949219,0.36651611328125,0.251945495605469,0.257865905761719,0.238685607910156,0,0.538695382930908,1.17370614917096,1.38903630660185,1.48929482581374,0.0249267243491125,0,0.27206837521763,0.592780883419675,0.701533488182755,0.752169103946335,0.0125892547217739,0,0.0471502113008581,0.248992748943178,0.404899770235801,0.26012354916621,0.0044704107404207,0,0.0238132380307364,0.125753913607666,0.204494833452425,0.131375529881924,0.0022577832022326,0,85.1669129865662,115.691428385944,155.278488361015,146.357837210229,111.758883248731,0,0.191013796322727,0.268456785477468,0.295133831303295,0.236950454574864,0.21676333410148,0,0.143088655290838,0.206771836775112,0.212160413198313,0.18093169176419,0.143842358166072,0.764705882351442,0.857142857141327,0.854545454543901,0.853658536583284,0.399999999996,0.63999999999872,0.718309859153918,0.722222222221219,0.692307692306361,0.499999999995833,0.0704225352111684,0.150684931506643,0.155555555555383,0.147058823529195,0.124999999999219
"4","T1-35_2_00","Memanbetsu","sparse","T1",3,1777.77777777778,0,0,0.19232177734375,0.123989868164063,0.244667053222656,0.205894470214844,0.350212097167969,0.284737396240234,0.376228332519531,0.238487243652344,0.424247741699219,0.401405334472656,0,0.363791135569695,0.872489684118919,1.08668587005326,1.19187521545141,0.0496003855068636,0,0.183732896752371,0.440651355615616,0.548831247501645,0.601957179520914,0.0250506997509412,0,0.0298994126988716,0.135729971818495,0.235868190736021,0.189353118982887,0.0156978540845705,0,0.0151007134842785,0.0685504908174219,0.119125348856576,0.0956328883751956,0.0079282091336214,0,77.9093933078921,106.016572757265,162.350154897143,151.567115702683,140.183992346939,0,0.164405715658267,0.226799812055352,0.311773068064121,0.281316845617863,0.231394151224976,0,0.124253021363941,0.174168170191471,0.221234606379042,0.206401067865055,0.168394634395244,0.736842105261219,0.83999999999832,0.833333333331944,0.846153846151676,0.724137931031986,0.631578947366759,0.692307692306361,0.696969696968641,0.666666666665432,0.5999999999988,0.0740740740739369,0.142857142856888,0.090909090908999,0.149999999999625,0.111111111110864
"6","T2-24_2_00","Memanbetsu","sparse","T2",4,2476.9038701623,0,0,0.179229736328125,0.133918762207031,0.265510559082031,0.219161987304688,0.445091247558594,0.291580200195312,0.420135498046875,0.248188018798828,0.533607482910156,0.29022216796875,0,0.556153477861602,1.07340138626002,1.2415630534755,1.34985127875545,1.19909248291832,0,0.280885594879597,0.542121912252538,0.627052047209849,0.68174307007851,0.605602264100162,0,0.0527547322497224,0.178234417833793,0.269034144759773,0.210484758548355,0.19705209306263,0,0.0266438041665264,0.0900173827443399,0.135875830686754,0.10630543361028,0.0995212591225404,0,85.9127448430163,119.512400092758,156.396078924177,146.22623846914,134.590874139043,0,0.205846926432065,0.246666549608498,0.273758631632183,0.239508180603563,0.209914521497712,0,0.154734773731535,0.189930189725855,0.199701305903473,0.181602769889756,0.162352679636256,0.787234042551517,0.846153846152219,0.851851851850274,0.83999999999832,0.794871794869757,0.658536585364247,0.698113207545853,0.703703703701097,0.673469387753728,0.636363636360744,0.0632911392404262,0.137931034482521,0.162790697674229,0.133333333333111,0.130434782608412
"7","T1-22_1_00","Tokachi","sparse","T1",4,2219.22596754057,0,0,0.172813415527344,0.127784729003906,0.241165161132812,0.201385498046875,0.47198486328125,0.262870788574219,0.466934204101562,0.253109741210937,0.433113098144531,0.243222045898437,0,0.400550124340434,0.887794025934676,1.08758613830726,1.23178573373083,1.08307882612851,0,0.202298042596179,0.448380821179129,0.549285928438012,0.622114006934765,0.547009508145712,0,0.0353576819272251,0.133500319200968,0.208788324167316,0.193121366186725,0.154308014830707,0,0.0178574151147601,0.0674244036368527,0.105448648569352,0.097536043528649,0.0779333408235893,0,78.2603859543052,112.425236343726,155.30563555248,143.972826781903,125.766363498788,0,0.189203516111803,0.236275741371037,0.33044072502474,0.316717716791021,0.20008857019066,0,0.140948391326637,0.180257191400015,0.238679152093268,0.234494341686929,0.15283868047988,0.772727272725516,0.818181818180331,0.836734693875843,0.853658536583284,0.783783783781665,0.67272727272605,0.67999999999864,0.677419354837617,0.689655172412604,0.649999999998375,0.152173913043313,0.126760563380103,0.130434782608554,0.171428571428326,0.153846153845858
"8","T1-22_2_00","Tokachi","sparse","T1",4,2411.98501872659,0,0,0.186668395996094,0.127662658691406,0.28009033203125,0.22369384765625,0.484817504882812,0.293983459472656,0.500289916992188,0.237640380859375,0.558647155761719,0.356575012207031,0,0.382316114079487,0.915914198701837,1.12021310158182,1.21015709305262,1.14552216859697,0,0.193088946504791,0.462582928637292,0.565764192718093,0.611190451036679,0.578546549796451,0,0.0311856156477213,0.153774626525655,0.245646375433685,0.20770427927927,0.221305645227349,0,0.0157503109331925,0.0776639527907348,0.124063825976608,0.104901151151146,0.1117705278926,0,78.2778480686001,112.671288924291,157.200795507645,147.959889673614,130.784705749722,0,0.190074122256168,0.242603978906134,0.334502934487998,0.323022348404721,0.216708575281762,0,0.141739852983512,0.18547780138322,0.235710113104736,0.236724637682742,0.164733567811817,0.766666666665389,0.833333333331018,0.83999999999832,0.857142857140816,0.804878048778525,0.666666666665079,0.688888888887358,0.681159420288868,0.692307692305917,0.66037735848932,0.148148148147874,0.131578947368248,0.133333333333185,0.171428571428326,0.152542372881097
"9","T2-23_1_00","Tokachi","sparse","T2",4,2506.86641697878,0,0,0.163429260253906,0.109693908691406,0.293380737304688,0.233299255371094,0.387100219726562,0.336860656738281,0.432693481445312,0.241913604736328,0.526153564453125,0.266012573242188,0,0.389364011662619,1.00585609137051,1.24133022547878,1.35041152984323,1.21679108986417,0,0.196648490738696,0.508008126954802,0.626934457312513,0.682026025173348,0.614540954476853,0,0.02780026234833,0.179966706768697,0.319766213232879,0.206747682798183,0.18328923348336,0,0.0140405365395606,0.0908922761458067,0.161498087491353,0.104418021615244,0.0925703199410911,0,76.7309721657663,113.985720069957,156.423777958398,138.420739529092,128.565234354547,0,0.193970373687722,0.259411112162848,0.302965668425833,0.239277250349808,0.19965537002228,0,0.141651148578444,0.195369724924937,0.216803867139682,0.177930608010423,0.15198760125395,0.749999999998125,0.842105263155679,0.853658536583284,0.842105263155679,0.789473684206371,0.636363636361708,0.695652173911531,0.710144927535203,0.67999999999864,0.63999999999872,0.0555555555554783,0.135135135134953,0.163636363636066,0.135135135134953,0.133333333333111
"10","T2-23_2_00","Tokachi","sparse","T2",4,2214.7315855181,0,0,0.184768676757812,0.116317749023438,0.310211181640625,0.248049926757813,0.458671569824219,0.363922882080078,0.452934265136719,0.271731567382812,0.582626342773438,0.35711669921875,0,0.327824227031922,0.999794789908055,1.24656109447189,1.4123340184925,1.12171841215953,0,0.165567791430264,0.504946863589927,0.629576310339338,0.713300009339648,0.566524450585619,0,0.0249633219220922,0.18735365754895,0.343115374947791,0.22242548420205,0.211730499557668,0,0.012607738344491,0.0946230593681564,0.173290593407976,0.112336103132348,0.106934595736196,0,78.8256338211368,114.281676728025,154.852944962409,137.136441085834,128.211956453785,0,0.185371863264345,0.259395106403207,0.310671154299491,0.245835578864095,0.224676410547991,0,0.137544239527941,0.195207099957438,0.223799934091457,0.182572850865723,0.168302148804157,0.744680851062245,0.83999999999832,0.860465116277069,0.846153846151676,0.789473684206371,0.633333333332278,0.69491525423611,0.719298245612773,0.681818181816632,0.642857142854847,0.054054054053981,0.133333333333185,0.16883116883095,0.137931034482521,0.136842105263014
"11","T1-03_1_00","Tokachi","sparse","T1",2,1233.4581772784,0,0,0.227691650390625,0.159625244140625,0.313316345214844,0.239962005615234,0.447425842285156,0.294906616210938,0,0,0,0,0,0.369675160157447,0.802331452821835,0.962526460332417,0,0,0,0.186704626342145,0.405217905465573,0.486124474915362,0,0,0,0.0407713496790118,0.140260655099547,0.209775902920097,0,0,0,0.0205915907469756,0.0708387146967409,0.105947425717221,0,0,0,80.5044579580766,106.654728193066,157.142460224701,0,0,0,0.192988688148382,0.235277799256471,0.331241037484417,0,0,0,0.145043441931243,0.181398913109669,0.239377562694502,0,0,0.755102040814785,0.826086956519943,0.846153846152219,0.33333333332963,0.2999999999985,0.652173913042061,0.688888888887358,0.698113207545853,0.49999999999375,0.466666666663555,0.0886075949365967,0.0769230769229923,0.123595505617839,0.166666666665278,0.157894736841274
"12","T1-03_2_00","Tokachi","sparse","T1",2,1235.95505617978,0,0,0.176017761230469,0.133903503417969,0.269813537597656,0.211807250976562,0.308357238769531,0.264877319335938,0,0,0,0,0,0.382962710188031,0.815022858230023,0.994749855079318,0,0,0,0.193415510195975,0.41162770617678,0.502398916706726,0,0,0,0.0363497002220269,0.130520676346241,0.19984110501526,0,0,0,0.0183584344555691,0.0659195335082022,0.100929851017808,0,0,0,81.4699385106892,108.8476967621,156.632353155027,0,0,0,0.198934698408925,0.229832871177974,0.331654335798208,0,0,0,0.149190320549859,0.177470051047035,0.237396368976921,0,0,0.749999999998437,0.821428571427105,0.846153846152219,0.333333333331111,0.294117647057093,0.652173913040643,0.67999999999864,0.69491525423611,0.454545454541322,0.466666666663555,0.0975609756096371,0.0749999999999062,0.12499999999987,0.142857142856122,0.142857142856122
"13","T1-14_2_00","Aomori","sparse","T1",1,436.624219725343,0,0,0.210792541503906,0.152526092529297,0.254364013671875,0.211875152587891,0.269088745117188,0.248786926269531,0,0,0,0,0,0.395587499207357,0.800625045371995,0.0053705657911502,0,0,0,0.199791666266342,0.40435608352121,0.0027124069652273,0,0,0,0.0413867052187375,0.129225126622742,0.0010958039576324,0,0,0,0.0209023763730997,0.0652652154660311,0.0005534363422385,0,0,0,78.2200080309935,109.068705271005,109.725433526012,0,0,0,0.202327685380039,0.241616484335138,0.215833122403704,0,0,0,0.150954092740918,0.186285832601793,0.142279455066546,0,0,0.749999999997656,0.833333333331597,0.333333333330555,0.33333333332963,0.249999999998958,0.658536585364247,0.692307692306627,0.49999999999375,0.49999999999375,0.411764705879931,0.121951219512046,0.096774193548231,0.0909090909082644,0.166666666665278,0.1111111111107
