"","PlotID","Temperature","Density","DAS","Wei_all_per_m2"
"1","T2-49_1_0","High","sparse",56,570.707070707071
"2","T2-49_2_0","High","sparse",56,469.69696969697
"3","T2-50_1_0","Low","standard",56,439.506172839506
"4","T2-50_2_0","Low","standard",56,385.185185185185
"5","T2-51_1_0","Mid-Long","standard",56,750.617283950617
"6","T2-51_2_0","Mid-Long","standard",56,604.938271604938
"7","T2-52_1_0","Mid-Long","dense",56,1111.11111111111
"8","T2-52_2_0","Mid-Long","dense",56,903.703703703704
"9","T2-53_1_0","High","dense",56,790.123456790123
"10","T2-53_2_0","High","dense",56,686.41975308642
"11","T2-54_1_0","Low","sparse",56,343.434343434343
"12","T2-54_2_0","Low","sparse",56,310.606060606061
"13","T2-55_1_0","Mid-Short","standard",56,330.864197530864
"14","T2-55_2_0","Mid-Short","standard",56,516.049382716049
"15","T2-56_1_0","Mid-Short","sparse",56,707.070707070707
"16","T2-56_2_0","Mid-Short","sparse",56,525.252525252525
"17","T2-57_1_0","High","standard",56,938.271604938271
"18","T2-57_2_0","High","standard",56,637.037037037037
"19","T2-58_1_0","Mid-Long","sparse",56,858.585858585859
"20","T2-58_2_0","Mid-Long","sparse",56,739.89898989899
"21","T2-59_1_0","Mid-Short","dense",56,701.234567901234
"22","T2-59_2_0","Mid-Short","dense",56,666.666666666667
"23","T2-60_1_0","Low","dense",56,479.012345679012
"24","T2-60_2_0","Low","dense",56,409.876543209876
"25","T1-61_1_0","Mid-Short","standard",56,493.827160493827
"26","T1-61_2_0","Mid-Short","standard",56,720.987654320988
"27","T1-62_1_0","High","sparse",56,792.929292929293
"28","T1-62_2_0","High","sparse",56,929.292929292929
"29","T1-63_1_0","Mid-Long","standard",56,760.493827160494
"30","T1-63_2_0","Mid-Long","standard",56,609.876543209876
"31","T1-64_1_0","Mid-Short","sparse",56,815.656565656566
"32","T1-64_2_0","Mid-Short","sparse",56,568.181818181818
"33","T1-65_1_0","Mid-Long","dense",56,498.765432098765
"34","T1-65_2_0","Mid-Long","dense",56,481.481481481481
"35","T1-66_1_0","Low","dense",56,587.654320987654
"36","T1-66_2_0","Low","dense",56,804.938271604938
"37","T1-67_1_0","Low","sparse",56,247.474747474747
"38","T1-67_2_0","Low","sparse",56,424.242424242424
"39","T1-68_1_0","Low","standard",56,424.691358024691
"40","T1-68_2_0","Low","standard",56,474.074074074074
"41","T1-69_1_0","High","dense",56,634.567901234568
"42","T1-69_2_0","High","dense",56,612.345679012346
"43","T1-70_1_0","High","standard",56,925.925925925926
"44","T1-70_2_0","High","standard",56,777.777777777778
"45","T1-71_1_0","Mid-Long","sparse",56,555.555555555556
"46","T1-71_2_0","Mid-Long","sparse",56,462.121212121212
"47","T1-72_1_0","Mid-Short","dense",56,491.358024691358
"48","T1-72_2_0","Mid-Short","dense",56,671.604938271605
"49","T2-25_1_0","High","standard",70,2153.08641975309
"50","T2-25_2_0","High","standard",70,2632.0987654321
"51","T2-26_1_0","Mid-Short","standard",70,2175.30864197531
"52","T2-26_2_0","Mid-Short","standard",70,2980.24691358025
"53","T2-27_1_0","Mid-Short","dense",70,2150.61728395062
"54","T2-27_2_0","Mid-Short","dense",70,2427.16049382716
"55","T2-28_1_0","Mid-Long","standard",70,2123.45679012346
"56","T2-28_2_0","Mid-Long","standard",70,2074.07407407407
"57","T2-29_1_0","Low","dense",70,1790.12345679012
